Time step, Pipe time (min), Pipe time (max), Pipe time (ave), Rend time (min), Rend time (max), Rend time (ave), Save time (min), Save time (max), Save time (ave), Comp time (min), Comp time (max), Comp time (ave)
540, 0.000538, 0.000998, 0.000783583, 0.01095, 0.193653, 0.0942347, 0, 0.015104, 0.00125925, 0.00349, 0.174904, 0.0936311
550, 0.000548, 0.001006, 0.000731667, 0.010816, 0.189406, 0.0962736, 0, 0.015165, 0.00126417, 0.003181, 0.183958, 0.0901181
560, 0.000544, 0.001004, 0.000737083, 0.010874, 0.188601, 0.100491, 0, 0.014995, 0.00125008, 0.003752, 0.195167, 0.086004
570, 0.000571, 0.001014, 0.000792083, 0.010945, 0.193269, 0.0915947, 0, 0.015537, 0.00129492, 0.002898, 0.197436, 0.0957993
580, 0.000551, 0.001023, 0.0007, 0.011033, 0.199484, 0.0871717, 0, 0.014938, 0.00124525, 0.002979, 0.205056, 0.0997019
590, 0.000547, 0.000943, 0.000664, 0.010893, 0.199217, 0.0912669, 0, 0.01507, 0.00125617, 0.003853, 0.190125, 0.099985
610, 0.000554, 0.001056, 0.000728583, 0.011013, 0.195925, 0.0974418, 0, 0.01495, 0.00124625, 0.004038, 0.205113, 0.0957779
620, 0.000553, 0.001043, 0.000759333, 0.010801, 0.192183, 0.0859465, 0, 0.015425, 0.00128617, 0.003514, 0.183773, 0.0967967
630, 0.00055, 0.001003, 0.000754167, 0.01114, 0.203976, 0.101831, 0, 0.014767, 0.00123092, 0.003693, 0.20875, 0.0996435
640, 0.000522, 0.000821, 0.000675167, 0.198933, 0.513327, 0.354105, 0, 0.023747, 0.001979, 1.10425, 1.45721, 1.27806
650, 0.000842, 0.001631, 0.00102483, 0.016506, 0.200843, 0.119855, 0, 0.023332, 0.00194483, 0.004415, 0.215834, 0.0899795
660, 0.000541, 0.001024, 0.000907167, 0.010845, 0.200104, 0.12031, 0, 0.023353, 0.00194658, 0.004331, 0.212179, 0.0860591
670, 0.000522, 0.001795, 0.000984167, 0.011036, 0.197495, 0.116526, 1e-06, 0.023459, 0.00195583, 0.004495, 0.208608, 0.0883275
680, 0.000535, 0.001133, 0.000884417, 0.01204, 0.197147, 0.111544, 0, 0.023438, 0.00195358, 0.004363, 0.199225, 0.0876639
690, 0.000581, 0.00099, 0.000821, 0.011502, 0.204494, 0.111589, 0, 0.023396, 0.00194992, 0.004468, 0.216406, 0.0952853
700, 0.000527, 0.000975, 0.000774083, 0.010833, 0.193813, 0.0980858, 0, 0.02343, 0.00195308, 0.004479, 0.202683, 0.092189
710, 0.000525, 0.000991, 0.000795583, 0.010573, 0.19992, 0.104537, 0, 0.023447, 0.00195433, 0.004096, 0.213923, 0.0976942
720, 0.000574, 0.000963, 0.000727, 0.011308, 0.197532, 0.10026, 0, 0.023422, 0.00195242, 0.004149, 0.209247, 0.0982251
730, 0.000527, 0.000974, 0.000740583, 0.011011, 0.199832, 0.102677, 0, 0.015131, 0.00126167, 0.004336, 0.203338, 0.0940417
740, 0.000523, 0.000942, 0.000682583, 0.010769, 0.19722, 0.0977855, 0, 0.015306, 0.00127608, 0.004478, 0.201862, 0.0961761
750, 0.000567, 0.001829, 0.000858, 0.011309, 0.197571, 0.103805, 0, 0.015771, 0.00131475, 0.00394, 0.20228, 0.0914267
760, 0.000525, 0.001764, 0.000818083, 0.011443, 0.185091, 0.0929362, 0, 0.01573, 0.00131133, 0.003493, 0.176633, 0.0856896
770, 0.000528, 0.00104, 0.000731333, 0.011397, 0.153922, 0.0773477, 0, 0.015461, 0.00128883, 0.003758, 0.152867, 0.0751735
780, 0.000572, 0.001007, 0.000783, 0.011305, 0.201931, 0.0900431, 0, 0.016378, 0.00136542, 0.00435, 0.210377, 0.103891
790, 0.000525, 0.000965, 0.00068975, 0.011432, 0.198893, 0.0811654, 0, 0.014857, 0.00123875, 0.004106, 0.191537, 0.10481
800, 0.000529, 0.001021, 0.000705, 0.010852, 0.198935, 0.0817072, 0, 0.015033, 0.00125333, 0.003567, 0.208326, 0.107144
810, 0.000526, 0.001008, 0.000704083, 0.011565, 0.199779, 0.0810628, 0, 0.015078, 0.00125683, 0.004085, 0.193891, 0.11174
820, 0.000524, 0.00099, 0.00075175, 0.010977, 0.19874, 0.0840192, 0, 0.015855, 0.001322, 0.004155, 0.191964, 0.106573
830, 0.000526, 0.001016, 0.000713917, 0.011367, 0.189933, 0.081728, 0, 0.015204, 0.00126775, 0.003622, 0.194296, 0.101048
840, 0.000522, 0.001003, 0.000757, 0.011027, 0.198713, 0.0850512, 0, 0.01594, 0.001329, 0.004097, 0.197452, 0.110937
850, 0.000563, 0.001014, 0.000731417, 0.011336, 0.191208, 0.0824129, 0, 0.01494, 0.00124542, 0.004649, 0.199329, 0.103992
860, 0.000555, 0.000991, 0.00075625, 0.011283, 0.182687, 0.0835477, 0, 0.015357, 0.00128025, 0.003759, 0.188989, 0.0956213
870, 0.000527, 0.001141, 0.00079275, 0.01116, 0.197495, 0.0853742, 0, 0.014979, 0.00124867, 0.003787, 0.202408, 0.104526
880, 0.00053, 0.001048, 0.00076075, 0.010806, 0.191503, 0.0819509, 0, 0.01507, 0.00125608, 0.003706, 0.196431, 0.103285
890, 0.000525, 0.000998, 0.000738333, 0.01077, 0.196482, 0.0898689, 0, 0.023456, 0.00195508, 0.003082, 0.207536, 0.102597
910, 0.000528, 0.001808, 0.000775083, 0.011008, 0.195819, 0.0821035, 0, 0.01507, 0.00125642, 0.002989, 0.210227, 0.107967
920, 0.000525, 0.00118, 0.000712417, 0.010764, 0.200709, 0.0910924, 0, 0.015013, 0.0012515, 0.003553, 0.209715, 0.109476
930, 0.000527, 0.001062, 0.000752, 0.010647, 0.200956, 0.0827434, 0, 0.014943, 0.00124592, 0.003483, 0.200102, 0.1112
940, 0.000522, 0.000977, 0.000708167, 0.011042, 0.19869, 0.0872037, 0, 0.014686, 0.0012245, 0.003745, 0.20443, 0.104102
950, 0.000522, 0.00065, 0.000576917, 0.191139, 0.570613, 0.361429, 0, 0.023719, 0.00197675, 1.07609, 1.46544, 1.28166
960, 0.000849, 0.001637, 0.001028, 0.016584, 0.199463, 0.108202, 0, 0.023333, 0.00194508, 0.006888, 0.225786, 0.104665
970, 0.000844, 0.001813, 0.00100642, 0.016668, 0.198241, 0.103282, 0, 0.015473, 0.00128958, 0.004135, 0.205159, 0.0984556
980, 0.000563, 0.001028, 0.00088325, 0.011561, 0.199262, 0.103334, 0, 0.023339, 0.00194558, 0.004391, 0.200829, 0.100461
990, 0.000525, 0.001039, 0.000833917, 0.010813, 0.193086, 0.0932669, 0, 0.015792, 0.00131642, 0.00443, 0.206662, 0.101032
1000, 0.000524, 0.001021, 0.000743667, 0.01111, 0.198541, 0.0957349, 0, 0.015373, 0.0012815, 0.004218, 0.20813, 0.105638
1010, 0.00057, 0.001029, 0.000737833, 0.011259, 0.199264, 0.0928052, 0, 0.015868, 0.00132283, 0.004372, 0.208185, 0.108693
1020, 0.00053, 0.001797, 0.000882333, 0.01142, 0.200408, 0.0904832, 0, 0.015981, 0.00133225, 0.0043, 0.192297, 0.101635
1030, 0.000529, 0.000986, 0.0007905, 0.011112, 0.190052, 0.0814755, 0, 0.01509, 0.00125808, 0.003144, 0.181424, 0.0974138
1040, 0.000524, 0.000976, 0.000726083, 0.010936, 0.197711, 0.0853442, 0, 0.015151, 0.00126333, 0.003518, 0.201226, 0.100846
1050, 0.000525, 0.001, 0.000784833, 0.011791, 0.189666, 0.0852934, 0, 0.019523, 0.00162725, 0.003693, 0.181055, 0.0930889
1060, 0.000527, 0.001, 0.000708583, 0.0115, 0.195689, 0.0911702, 0, 0.015498, 0.00129267, 0.003661, 0.202662, 0.105791
1070, 0.00053, 0.001033, 0.000788583, 0.01104, 0.192455, 0.08491, 0, 0.015403, 0.00128408, 0.004041, 0.199843, 0.102777
1080, 0.000527, 0.000992, 0.00070875, 0.01125, 0.195299, 0.0900731, 0, 0.015836, 0.00132008, 0.004152, 0.199284, 0.104342
1090, 0.000525, 0.001327, 0.000762667, 0.011682, 0.202041, 0.0835258, 0, 0.015095, 0.00125833, 0.003672, 0.208915, 0.110827
1100, 0.000526, 0.001101, 0.000801333, 0.011022, 0.195173, 0.0810758, 0, 0.01507, 0.00125625, 0.003551, 0.195527, 0.104572
1110, 0.000567, 0.001041, 0.000774917, 0.01111, 0.193874, 0.0865017, 0, 0.015097, 0.00125875, 0.002984, 0.199928, 0.100373
1120, 0.000559, 0.001678, 0.000833583, 0.011297, 0.129201, 0.0763789, 0, 0.015959, 0.00133058, 0.003841, 0.134596, 0.0570792
1130, 0.000619, 0.00106, 0.000813917, 0.01095, 0.191584, 0.0866406, 0, 0.015444, 0.0012875, 0.004324, 0.197355, 0.10102
1140, 0.000526, 0.001072, 0.000760333, 0.011646, 0.198461, 0.0874698, 0, 0.015057, 0.00125508, 0.003892, 0.200923, 0.103651
1150, 0.000527, 0.001044, 0.000716667, 0.010948, 0.198362, 0.0812798, 0, 0.014968, 0.00124758, 0.00321, 0.202068, 0.110207
1160, 0.00053, 0.001037, 0.00071125, 0.010892, 0.19663, 0.0807204, 0, 0.014961, 0.00124708, 0.004378, 0.20115, 0.109611
1170, 0.000527, 0.001052, 0.00072725, 0.011012, 0.193307, 0.0792986, 0, 0.015185, 0.001266, 0.004375, 0.200318, 0.104898
1180, 0.00053, 0.001082, 0.000702333, 0.011217, 0.190911, 0.0799367, 0, 0.014945, 0.00124592, 0.004377, 0.1935, 0.106479
1190, 0.000522, 0.001796, 0.000766333, 0.01094, 0.201454, 0.0831614, 0, 0.023401, 0.00195033, 0.003731, 0.2039, 0.106075
1210, 0.000525, 0.001041, 0.00069, 0.010747, 0.194392, 0.0830136, 0, 0.014848, 0.00123792, 0.003825, 0.211276, 0.103711
1220, 0.000557, 0.001049, 0.000760083, 0.011451, 0.193451, 0.0799252, 0, 0.015034, 0.00125325, 0.00381, 0.205913, 0.107014
1230, 0.000525, 0.001132, 0.00071525, 0.011016, 0.181486, 0.0773692, 0, 0.015005, 0.00125108, 0.002907, 0.172765, 0.0949657
1240, 0.000523, 0.000987, 0.000695833, 0.010726, 0.185521, 0.0812844, 0, 0.015002, 0.0012505, 0.003079, 0.188881, 0.0948132
